Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,null,null,null,null,null,null
2012-01-01,35.075001,35.355000,33.285000,33.764999,27.469534,300231600
2012-02-01,33.939999,34.990002,33.709999,34.930000,28.417309,287665000
2012-03-01,34.935001,37.195000,34.250000,37.005001,30.105434,410250600
2012-04-01,36.915001,38.910000,35.910000,38.160000,31.503149,292370000
2012-05-01,38.270000,38.869999,36.735001,37.365002,30.846842,335390800
2012-06-01,36.994999,39.095001,36.279999,39.095001,32.275040,279573200
2012-07-01,39.049999,40.665001,38.049999,40.400002,33.810997,289020200
2012-08-01,40.485001,40.625000,37.130001,37.400002,31.300283,308129200
2012-09-01,37.520000,39.000000,37.110001,37.930000,31.743841,469561900
2012-10-01,38.160000,38.830002,36.540001,37.180000,31.327667,293829600
2012-11-01,37.150002,37.980000,35.860001,37.919998,31.951178,261448200
2012-12-01,37.900002,37.990002,35.580002,36.250000,30.753620,269626400
2013-01-01,36.990002,37.869999,36.520000,37.240002,31.593513,302757300
2013-02-01,37.540001,39.060001,36.540001,38.720001,32.849106,324939300
2013-03-01,38.490002,40.700001,38.450001,40.439999,34.308327,288428800
2013-04-01,40.389999,42.959999,39.770000,42.330002,36.171719,317772200
2013-05-01,42.150002,43.430000,39.990002,39.990002,34.172138,288223000
2013-06-01,39.950001,41.730000,38.970001,40.110001,34.274693,305808000
2013-07-01,40.500000,41.250000,39.500000,40.080002,34.485775,260921100
2013-08-01,40.400002,40.750000,37.799999,38.180000,32.850960,296801300
2013-09-01,38.270000,39.669998,37.750000,37.880001,32.592842,300960000
2013-10-01,38.000000,39.959999,36.830002,39.570000,34.294575,378979000
2013-11-01,39.570000,40.880001,39.220001,40.189999,34.831921,267950200
2013-12-01,40.099998,41.389999,38.869999,41.310001,36.053406,301144500
2014-01-01,41.119999,41.230000,37.720001,37.820000,33.007492,289400900
2014-02-01,38.020000,39.020000,36.889999,38.200001,33.339146,385231900
2014-03-01,37.880001,39.029999,37.849998,38.660000,33.740616,349073700
2014-04-01,38.529999,41.279999,38.040001,40.790001,35.881638,382724700
2014-05-01,40.790001,41.220001,40.259998,40.910000,35.987194,213626400
2014-06-01,40.750000,42.490002,40.150002,42.360001,37.262703,281955100
2014-07-01,42.389999,42.570000,39.250000,39.290001,34.822060,282905200
2014-08-01,39.130001,41.750000,39.060001,41.720001,36.975731,247865300
2014-09-01,41.520000,42.810001,41.180000,42.660000,37.808826,314829200
2014-10-01,42.549999,44.869999,40.099998,41.880001,37.387947,529864600
2014-11-01,41.790001,45.000000,41.590000,44.830002,40.021526,254105000
2014-12-01,44.180000,44.770000,39.799999,42.220001,37.952007,326860800
2015-01-01,42.259998,43.830002,41.110001,41.169998,37.008148,291958500
2015-02-01,41.209999,43.660000,40.900002,43.299999,38.922829,291305600
2015-03-01,43.299999,43.299999,39.610001,40.549999,36.450832,370436100
2015-04-01,40.790001,41.610001,40.099998,40.560001,36.762348,283894500
2015-05-01,40.580002,41.689999,40.389999,40.959999,37.124897,229991400
2015-06-01,41.360001,41.410000,39.119999,39.230000,35.556881,288144900
2015-07-01,39.380001,41.599998,39.220001,41.080002,37.540844,268100000
2015-08-01,40.849998,42.250000,36.560001,39.320000,35.932465,342540600
2015-09-01,38.669998,40.230000,37.840000,40.119999,36.663540,346513600
2015-10-01,40.220001,43.849998,39.360001,42.349998,39.036724,366124500
2015-11-01,42.320000,43.599998,41.340000,42.619999,39.285591,252003300
2015-12-01,42.730000,43.910000,41.970001,42.959999,39.902679,286519600
2016-01-01,42.340000,43.259998,40.750000,42.919998,39.865520,317817500
2016-02-01,42.599998,44.180000,41.900002,43.130001,40.060585,303790200
2016-03-01,43.380001,46.880001,43.169998,46.389999,43.088577,347092900
2016-04-01,46.139999,47.130001,42.869999,44.799999,41.936249,317184500
2016-05-01,44.570000,45.900002,43.939999,44.599998,41.749035,230202600
2016-06-01,44.599998,46.009998,43.320000,45.330002,42.432369,265480000
2016-07-01,45.330002,45.939999,43.099998,43.630001,41.154236,235930600
2016-08-01,43.689999,44.330002,43.080002,43.430000,40.965580,234401800
2016-09-01,43.209999,43.830002,41.849998,42.320000,39.918568,250926400
2016-10-01,42.310001,43.029999,41.400002,42.400002,40.320786,264781200
2016-11-01,42.400002,42.980000,40.349998,40.349998,38.371307,316484200
2016-12-01,40.310001,42.220001,39.880001,42.000000,40.278053,324399500
2017-01-01,41.500000,42.250000,40.689999,41.570000,39.865685,240307600
