Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,null,null,null,null,null,null
2012-01-01,25.850000,26.049999,24.582500,25.160000,22.232916,305384400
2012-02-01,25.295000,29.840000,25.150000,29.092501,25.707907,359655600
2012-03-01,29.362499,30.174999,28.385000,29.500000,26.268597,251469200
2012-04-01,29.500000,31.052500,29.120001,30.745001,27.377218,250660400
2012-05-01,30.867500,31.337500,28.125000,28.799999,25.645269,401376000
2012-06-01,28.410000,31.237499,27.985001,30.907499,27.731192,295216800
2012-07-01,31.065001,33.087502,29.775000,32.267502,28.951426,294764000
2012-08-01,32.125000,33.145000,31.452499,32.062500,28.767494,218263200
2012-09-01,32.090000,34.162498,31.737499,33.570000,30.325523,252855600
2012-10-01,33.717499,35.775002,33.717499,34.689999,31.337282,228222400
2012-11-01,35.205002,37.482498,34.632500,37.427502,33.810207,249467200
2012-12-01,37.500000,38.127499,36.525002,37.895000,34.552704,216124800
2013-01-01,38.540001,40.692501,38.482498,39.477501,35.995636,237422800
2013-02-01,39.750000,40.220001,38.535000,39.660000,36.162033,244870000
2013-03-01,39.482498,42.740002,38.919998,42.459999,39.043755,259370400
2013-04-01,42.437500,42.747501,40.317501,42.115002,38.726528,207622800
2013-05-01,41.747501,46.224998,40.900002,44.535000,40.951809,311006400
2013-06-01,44.687500,46.307499,43.919998,45.687500,42.321388,248756800
2013-07-01,45.974998,49.000000,42.747501,44.252499,40.992115,336031200
2013-08-01,45.439999,46.285000,43.052502,43.605000,40.392319,371889200
2013-09-01,44.007500,50.215000,43.762501,47.775002,44.583443,284857200
2013-10-01,47.822498,51.312500,45.027500,49.167500,45.882908,270568400
2013-11-01,49.737499,51.267502,48.750000,50.865002,47.467018,205473600
2013-12-01,51.025002,55.680000,49.857498,55.669998,52.373669,281645600
2014-01-01,55.384998,58.875000,53.777500,53.857498,50.668499,301408000
2014-02-01,54.127499,57.119999,52.845001,56.485001,53.140408,231340800
2014-03-01,55.810001,58.167500,52.630001,53.965000,51.137634,266839600
2014-04-01,54.270000,54.540001,48.709999,50.652500,47.998688,387414000
2014-05-01,51.025002,53.987499,50.750000,53.707500,50.893627,219822800
2014-06-01,53.842499,53.922501,51.827499,52.677502,50.297085,202218800
2014-07-01,52.987499,56.187500,52.752499,52.752499,50.368694,221661200
2014-08-01,52.467499,54.500000,52.052502,53.130001,50.729137,179954800
2014-09-01,53.352501,54.662498,52.279999,53.342499,51.322506,204146800
2014-10-01,53.212502,60.625000,48.797501,60.357498,58.071857,323304000
2014-11-01,60.244999,64.875000,59.750000,64.547501,62.103191,207148400
2014-12-01,64.067497,67.330002,63.087502,65.550003,63.556374,197323300
2015-01-01,65.845001,66.687500,61.292500,63.727501,61.789291,56075900
2015-02-01,64.077499,68.625000,62.424999,67.827499,65.764595,49162900
2015-03-01,69.177498,69.662498,64.752502,65.410004,63.884277,136099900
2015-04-01,65.449997,69.980003,64.349998,66.050003,64.509331,160616100
2015-05-01,65.220001,70.690002,65.150002,68.680000,67.077988,144425000
2015-06-01,69.129997,70.019997,66.690002,67.150002,65.698463,131162700
2015-07-01,67.940002,76.919998,66.529999,75.339996,73.711418,177282000
2015-08-01,75.589996,76.169998,60.000000,71.300003,69.758766,178918400
2015-09-01,69.410004,72.320000,67.029999,69.660004,68.265869,208501300
2015-10-01,70.089996,78.889999,68.360001,77.580002,76.027374,177090000
2015-11-01,75.190002,81.010002,74.529999,79.010002,77.428757,183607700
2015-12-01,79.529999,80.489998,75.519997,77.550003,76.134552,196542500
2016-01-01,76.059998,76.510002,68.760002,74.489998,73.130402,260355100
2016-02-01,74.080002,74.779999,66.120003,72.389999,71.068718,213830500
2016-03-01,72.989998,77.000000,69.580002,76.480003,75.386673,195314100
2016-04-01,76.250000,81.730003,75.800003,77.239998,76.135803,174226900
2016-05-01,77.809998,79.870003,76.220001,78.940002,77.811508,146114900
2016-06-01,78.690002,81.709999,73.250000,74.169998,73.239143,233191700
2016-07-01,74.500000,80.169998,73.830002,78.050003,77.070473,183697800
2016-08-01,78.309998,81.760002,77.730003,80.900002,79.884697,149140400
2016-09-01,81.139999,83.790001,80.970001,82.699997,81.803825,178862900
2016-10-01,82.419998,83.699997,81.110001,82.510002,81.615891,178625400
2016-11-01,82.639999,83.959999,77.279999,77.320000,76.482124,234440900
2016-12-01,77.570000,80.389999,75.169998,78.019997,77.336945,244420700
2017-01-01,78.760002,84.269997,78.489998,82.709999,81.985901,159174300
