Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,43.099998,43.639999,42.820000,43.430000,43.049976,17746800
2018-03-02,43.250000,43.799999,43.240002,43.720001,43.337440,14050100
2018-03-05,43.570000,43.939999,43.500000,43.889999,43.505951,11992700
2018-03-06,43.950001,44.049999,43.590000,43.930000,43.545601,10010500
2018-03-07,43.590000,43.919998,43.470001,43.820000,43.436562,10881700
2018-03-08,43.900002,44.459999,43.799999,44.450001,44.061050,12361100
2018-03-09,44.570000,44.820000,44.389999,44.820000,44.427814,9778600
2018-03-12,44.950001,45.090000,44.330002,44.529999,44.140350,11857700
2018-03-13,44.669998,44.830002,44.400002,44.570000,44.180000,11342100
2018-03-14,44.380001,44.430000,43.730000,43.779999,43.779999,15321200
2018-03-15,43.880001,44.000000,43.549999,43.669998,43.669998,12456700
2018-03-16,43.700001,44.020000,43.450001,43.459999,43.459999,26603300
2018-03-19,43.459999,43.709999,43.180000,43.259998,43.259998,12380300
2018-03-20,43.320000,43.480000,43.009998,43.160000,43.160000,13559800
2018-03-21,43.130001,43.450001,42.790001,43.000000,43.000000,13054000
2018-03-22,42.880001,43.369999,42.700001,42.759998,42.759998,12274100
2018-03-23,42.820000,43.160000,42.290001,42.330002,42.330002,13475200
2018-03-26,42.610001,42.810001,42.250000,42.689999,42.689999,11276100
2018-03-27,42.700001,43.310001,42.529999,42.889999,42.889999,11627000
2018-03-28,43.000000,43.700001,43.000000,43.320000,43.320000,16277400
2018-03-29,43.540001,43.919998,43.290001,43.430000,43.430000,10370800
